Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C00,accepted,244,44,82,137,128,1,20,1
C01,accepted,221,168,36,108,172,1,13.0384,1
C02,accepted,0,188,165,195,117,1,16.1245,1
C03,accepted,174,149,249,140,246,1,12.0416,1
C04,accepted,249,67,158,136,217,1,10.0499,1
C05,accepted,135,198,53,196,210,1,11.1803,1
C06,accepted,156,173,255,193,72,1,11.1803,1
C07,accepted,234,104,209,112,189,1,10.7703,1
C08,accepted,249,237,50,185,209,1,11.0454,1
C09,accepted,38,170,225,169,139,1,10,1
C10,accepted,244,44,82,301,211,1,21.587,1
C11,accepted,221,168,36,241,99,1,17,1
C12,accepted,0,188,165,161,132,1,12.3693,1
C13,accepted,174,149,249,170,166,1,12.3693,1
C14,accepted,249,67,158,330,224,1,25,1
