Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1
C00,accepted,255,255,255,301,209,1,9.8995,1,1
C01,accepted,255,255,255,171,140,1,10.198,1,1
C02,accepted,255,255,255,194,115,1,13.0384,1,1
C03,accepted,255,255,255,168,168,1,14.8661,1,1
C04,accepted,255,255,255,138,126,1,12.3693,1,1
C05,accepted,255,255,255,194,73,1,13.1529,1,1
C06,accepted,255,255,255,112,187,1,12.1655,1,1
C07,accepted,255,255,255,107,172,1,11.4018,1,1
C08,accepted,255,255,255,330,223,1,14.5602,1,1
C09,accepted,255,255,255,242,105,1,9.48683,1,1
C10,accepted,255,255,255,196,209,1,14.0357,1,1
C11,accepted,255,255,255,262,136,1,9,1,1
C12,accepted,255,255,255,163,132,1,11.4018,1,1
C13,accepted,255,255,255,184,211,1,10.6301,1,1
