Name,SNR,EventRate(Hz)
C00,30.3327,2.03115
C01,0.221203,6.97222
C02,22.0192,2.26685
C03,2.68255,5.72972
C04,53.4089,1.70251
C05,-7.07644,2.09043
C06,9.04104,2.78614
C07,16.2733,1.49242
C08,15.2779,1.22448
C09,37.6163,0.672467
C11,0.591605,0.699024
C12,-2.28715,1.21642
C13,-3.76242,1.28613
C15,-2.01524,1.90406
C16,-0.968986,1.25388
C18,-3.53626,0.584259
C19,-2.6487,0.290707
C20,-24.3512,1.0566
C21,-0.765621,2.74393
C22,-2.56484,1.91544
C23,-8.05172,1.43883
C24,-6.63764,1.05755
C25,-3.28539,1.353
C26,-2.63829,1.00206
C27,-1.58269,1.09596
C28,-3.64421,1.62663
C29,-1.76108,1.5958
C30,-2.90182,0.74787
C31,-2.34104,0.902946
C32,-8.40295,1.48958
C34,-1.64939,3.45054
C35,-1.40804,0.543
C38,-2.29129,0.366585
C39,-0.536812,0.411163
