Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,251,76,1,12.7279,1,1,1
C01,accepted,221,168,36,190,105,1,9.48683,1,1,1
C02,accepted,0,188,165,208,140,1,16.1555,1,1,1
C03,rejected,174,149,249,193,191,1,17.088,1,1,1
C04,accepted,249,67,158,176,254,1,8.24621,1,1,1
C05,accepted,135,198,53,175,166,1,12.8062,1,1,1
C06,accepted,156,173,255,215,115,1,12.53,1,1,1
C07,accepted,234,104,209,166,36,1,13.0384,1,1,1
C08,accepted,249,237,50,77,89,1,12.3693,1,1,1
C09,rejected,38,170,225,197,153,1,9.21954,1,1,1
C10,accepted,244,44,82,166,265,1,10.198,1,1,1
C11,accepted,221,168,36,216,69,1,15.2315,1,1,1
C12,accepted,0,188,165,189,127,1,10.4403,1,1,1
C13,accepted,174,149,249,103,182,1,7.81025,1,1,1
C14,accepted,249,67,158,114,106,1,10.198,1,1,1
C15,accepted,135,198,53,221,199,1,10.4403,1,1,1
C16,accepted,156,173,255,269,111,1,17.0294,1,1,1
C17,accepted,234,104,209,191,262,1,14.4222,1,1,1
C18,accepted,249,237,50,183,63,1,10.7703,1,1,1
C19,accepted,38,170,225,99,235,1,17.0294,1,1,1
C20,accepted,244,44,82,245,143,1,14.8661,1,1,1
C21,accepted,221,168,36,237,43,1,13,1,1,1
C22,accepted,0,188,165,174,146,1,12.7279,1,1,1
C23,accepted,174,149,249,61,131,1,12.3693,1,1,1
C24,accepted,249,67,158,239,219,1,10.7703,1,1,1
